;q_A [cm^3/s];q_B [cm^3/s];q_d1 [cm^3/s];q_d2 [cm^3/s];q_d3 [cm^3/s];q_d4 [cm^3/s];x1 [cm];x2 [cm];x3 [cm];x4 [cm]
116;452.78;555.56;0.1972;0.0929;0.2729;0.186;65.70564847;65.51033859;67.00679021;66.40809194
117;452.78;555.56;-0.2798;0.0305;0.1613;-0.0923;65.92949005;65.59052813;67.23336389;66.57040198
118;452.78;555.56;0.0584;-0.009;-0.1416;0.273;65.67245303;65.60927767;67.33887451;66.44793154
119;452.78;555.56;0.219;0.038;-0.3665;0.1867;65.77333945;65.58234785;67.13708383;66.69565019
120;452.78;555.56;-0.054;0.0416;0.0512;-0.069;66.02038782;65.61415572;66.71881372;66.84718443
121;452.78;555.56;-0.0679;-0.1505;-0.3138;0.0183;65.9622257;65.65341208;66.73573812;66.73698124
122;452.78;555.56;0.2064;-0.2111;-0.032;0.0823;65.8943346;65.4934776;66.38695358;66.71846809
123;452.78;555.56;-0.0219;0.0191;0.0235;-0.134;66.09015829;65.28321366;66.33459736;66.76469278
124;452.78;555.56;-0.2242;-0.1817;-0.0614;0.0287;66.04382657;65.31948488;66.33994032;66.59277537
125;452.78;555.56;0.2624;-0.3673;0.2079;0.129;65.79817561;65.14560003;66.26015881;66.59041227
126;452.78;555.56;0.2174;-0.072;0.0494;-0.0275;66.05040202;64.79802073;66.45302999;66.68844344
127;452.78;555.56;-0.151;0.1723;0.1631;-0.3858;66.25070878;64.77368566;66.47929953;66.62606498
128;452.78;555.56;0.1888;0.0652;-0.0901;0.1928;66.07180928;64.99284833;66.61816651;66.20787394
129;452.78;555.56;0.0794;0.1383;0.1637;0.068;66.24916976;65.07303988;66.49800874;66.3849889
130;452.78;555.56;-0.0771;-0.0249;0.2768;0.1448;66.3015468;65.22787077;66.63669061;66.430222
131;452.78;555.56;-0.3568;0.3565;0.0998;0.0933;66.20012898;65.21061713;66.88265631;66.550448
132;452.78;555.56;0.0536;-0.1676;0.0314;0.14;65.83533685;65.58075446;66.94132133;66.61437383
133;452.78;555.56;0.227;-0.1479;-0.0121;0.213;65.90510848;65.40383095;66.92913236;66.72244911
134;452.78;555.56;-0.088;-0.1596;-0.1984;-0.2777;66.14361339;65.26310199;66.87395317;66.89921513
